#Frame     RMSD_00002
       1       0.0000
       2       1.9034
       3       2.4065
       4       2.3545
       5       2.1736
       6       2.2615
       7       3.3635
       8       2.7515
       9       2.7830
      10       3.1703
      11       2.5487
      12       3.0537
      13       2.9622
      14       2.2460
      15       2.4707
      16       3.2055
      17       4.0513
      18       3.9881
      19       3.3446
      20       3.2083
      21       3.4764
      22       3.4539
      23       3.8019
      24       3.7438
      25       3.8526
      26       3.6801
      27       3.7844
      28       3.5485
      29       3.8940
      30       3.6872
      31       3.7016
      32       3.7796
      33       4.2417
      34       3.9342
      35       3.7425
      36       3.6487
      37       3.4370
      38       3.7677
      39       3.6052
      40       3.1777
      41       3.2369
      42       3.5124
      43       3.4491
      44       3.6491
      45       3.7174
      46       3.8101
      47       3.8951
      48       3.5301
      49       3.6169
      50       3.6154
      51       3.6375
