#Frame     RMSD_00002
       1       0.0000
       2       3.4893
       3       2.8053
       4       3.2633
       5       3.8431
       6       4.2041
       7       3.0597
       8       3.2749
       9       3.2664
      10       3.3349
      11       3.3412
      12       3.5951
      13       3.2206
      14       3.4653
      15       3.5500
      16       3.5174
      17       3.3713
      18       3.2387
      19       3.4008
      20       3.3461
      21       3.3468
      22       3.5151
      23       3.4474
      24       3.2015
      25       3.3056
      26       3.9130
      27       3.6857
      28       3.8852
      29       3.7309
      30       3.3861
      31       3.6966
      32       3.6478
      33       4.0590
      34       3.9005
      35       4.1415
      36       3.7004
      37       3.6385
      38       3.8663
      39       3.6101
      40       3.8659
      41       3.9509
      42       3.8769
      43       3.9505
      44       3.6977
      45       3.9689
      46       3.6142
      47       3.5997
      48       3.6940
      49       3.9076
      50       3.8317
      51       3.5938
