#Frame     RMSD_00002
       1       0.0000
       2       3.1162
       3       4.3287
       4       4.2881
       5       3.5190
       6       7.2408
       7       6.5042
       8       6.9626
       9       7.2194
      10       6.2710
      11       4.8167
      12       5.3793
      13       4.7736
      14       5.3796
      15       5.1737
      16       3.4891
      17       3.9426
      18       5.4206
      19       5.5676
      20       5.3841
      21       4.3124
      22       4.3697
      23       4.5393
      24       5.2777
      25       5.3904
      26       5.0936
      27       4.7078
      28       4.4171
      29       4.9346
      30       4.7187
      31       4.7648
      32       4.3237
      33       4.2614
      34       5.2984
      35       5.3349
      36       5.1007
      37       5.4331
      38       5.1166
      39       4.7412
      40       5.4574
      41       5.9575
      42       5.1688
      43       5.3009
      44       5.8079
      45       4.5345
      46       4.0200
      47       6.2795
      48       6.2751
      49       4.0316
      50       4.4963
      51       4.5458
