#Frame     RMSD_00002
       1       0.0000
       2       3.2740
       3       3.2850
       4       4.6590
       5       5.1651
       6       5.3625
       7       4.5485
       8       4.6725
       9       4.3924
      10       6.4097
      11       4.4870
      12       4.8499
      13       6.8530
      14       4.9497
      15       5.1577
      16       5.3896
      17       5.5268
      18       6.0005
      19       4.9717
      20       5.4958
      21       4.9722
      22       5.0326
      23       4.7923
      24       5.0567
      25       4.9346
      26       4.5626
      27       4.9887
      28       4.6901
      29       5.2250
      30       4.5247
      31       4.6885
      32       5.0415
      33       5.1835
      34       5.0062
      35       5.0085
      36       5.3854
      37       5.5746
      38       5.3428
      39       5.8003
      40       7.1625
      41       4.9500
      42       6.4941
      43       4.8274
      44       4.6147
      45       5.6932
      46       5.1105
      47       5.1677
      48       4.9017
      49       6.0153
      50       5.1799
      51       5.0848
